round_epochs,val_loss,val_mean_absolute_error,val_mean_squared_error,loss,mean_absolute_error,mean_squared_error,first_neuron,activation,optimizer,losses,hidden_layers,batch_size,epochs,dropout,kernel_initializer,lr,last_activation
500,12.132276671273369,3.212732298033578,12.132276671273369,11.105169043076776,2.982208707691294,11.105169043076776,4,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,1,20,500,0.2,normal,0.1,linear
300,15.27643632888794,3.6800716604505266,15.27643632888794,16.002645273124223,3.7125181877507574,16.002645273124223,2,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,0,20,300,0.001,normal,0.1,linear
20,17.69970771244594,3.997143106801169,17.69970771244594,19.363263248342328,4.133355379104614,19.363263248342328,8,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x7fbcdab636a8>,1,10,20,0.001,uniform,0.1,linear
500,18.18210663114275,4.057083674839565,18.18210663114275,19.868297028330574,4.193715063871536,19.868297028330574,2,<function relu at 0x7fbcdab15a60>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,0,10,500,0.001,uniform,0.001,linear
500,19.068616594587052,4.164891379220145,19.068616594587052,20.778991884889855,4.300988653064829,20.778991884889855,8,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,2,20,500,0.001,normal,0.001,linear
20,16.878664016723633,3.893051419939314,16.878664016723633,18.46935812350923,4.02349376256487,18.46935812350923,16,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,1,40,20,0.2,normal,0.1,linear
50,16.999534232275828,3.905400344303676,16.999534232275828,17.937222953391284,3.9593931911265954,17.937222953391284,4,<function relu at 0x7fbcdab15a60>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,1,10,50,0.001,uniform,0.1,linear
300,12.949621949877058,3.3445530448641096,12.949621949877058,12.831007577676688,3.2496463724997193,12.831007577676688,2,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,2,10,300,0.2,normal,0.1,linear
20,18.23676300048828,4.063953672136579,18.23676300048828,19.922003315613335,4.199858555751565,19.922003315613335,16,<function relu at 0x7fbcdab15a60>,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x7fbcdab636a8>,0,40,20,0.2,normal,0.001,linear
500,5.3748840519360135,1.971582898071834,5.3748840519360135,1.3637841982124126,0.8419556438395407,1.3637841982124126,8,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,1,10,500,0.1,normal,0.1,linear
300,14.713135310581752,3.6015850475856235,14.713135310581752,15.12232231882821,3.594741785420781,15.12232231882821,8,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x7fbcdab636a8>,0,40,300,0.1,normal,0.1,linear
100,18.161215373447963,4.054471220288958,18.161215373447963,19.850824389837484,4.1917028384926045,19.850824389837484,8,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,0,40,100,0.001,uniform,0.001,linear
50,16.483355113438197,3.834162780216762,16.483355113438197,16.921379376301722,3.8297651341531127,16.921379376301722,16,<function relu at 0x7fbcdab15a60>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,1,10,50,0.2,uniform,0.1,linear
