,clusters_np,filenames_np
217,1,DAM012_P_DAP_KID.jpg
218,0,DAMa018_F_DAP_ADULT.jpg
219,1,DAM068_T_DAP_KID.jpg
220,2,DAMa018_T_DAP_ADULT.jpg
221,4,DAM018_P_DAP_KID.jpg
222,1,DAM082_P_DAP_KID.jpg
223,1,DAM037_T_DAP_KID.jpg
224,1,DAM044_P_DAP_KID.jpg
225,1,DAM045_T_DAP_KID.jpg
226,1,DAM043_T_DAP_KID.jpg
227,1,DAM014_T_DAP_KID.jpg
228,1,DAMa022_F_DAP_ADULT.jpg
229,1,DAM080_P_DAP_KID.jpg
230,3,DAM044_T_DAP_KID.jpg
231,1,DAM063_F_DAP_KID.jpg
232,3,DAMa001_F_DAP_ADULT.jpg
233,1,DAM052_T_DAP_KID.jpg
234,4,DAMa012_F_DAP_ADULT.jpg
235,3,DAM024_F_DAP_KID.jpg
236,1,DAM003_T_DAP_KID.jpg
237,3,DAM048_P_DAP_KID.jpg
238,1,DAM072_T_DAP_KID.jpg
239,2,DAM031_F_DAP_KID.jpg
240,2,DAM033_F_DAP_KID.jpg
241,2,DAM033_T_DAP_KID.jpg
242,3,DAM046_P_DAP_KID.jpg
243,3,DAM004_T_DAP_KID.jpg
244,0,DAMa024_T_DAP_ADULT.jpg
245,3,DAM049_P_DAP_KID.jpg
246,3,DAM048_T_DAP_KID.jpg
247,1,DAM008_F_DAP_KID.jpg
248,1,DAM051_T_DAP_KID.jpg
249,4,DAM019_P_DAP_KID.jpg
250,3,DAM064_T_DAP_KID.jpg
251,1,DAM040_T_DAP_KID.jpg
252,3,DAM005_P_DAP_KID.jpg
253,3,DAM044_F_DAP_KID.jpg
254,1,DAM015_T_DAP_KID.jpg
255,3,DAM083_T_DAP_KID.jpg
256,1,DAM084_F_DAP_KID.jpg
257,2,DAMa001_T_DAP_ADULT.jpg
